Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 10 Enplanements,CY 09 Enplanements,% Change
351,CE,KS,FOE,Topeka,Forbes Field,P,N,"15,115","11,985",26.12%
352,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,"15,052","13,513",11.39%
353,AL,AK,MRI,Anchorage,Merrill Field,P,N,"14,972","14,769",1.37%
354,GL,MI,CVX,Charlevoix,Charlevoix Municipal,P,N,"14,966","15,427",-2.99%
356,GL,SD,PIR,Pierre,Pierre Regional,P,N,"14,686","13,692",7.26%
357,NM,WY,RIW,Riverton,Riverton Regional,P,N,"14,361","14,186",1.23%
358,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,"14,349","13,173",8.93%
359,WP,CA,CEC,Crescent City,Jack McNamara Field,P,N,"14,341","11,490",24.81%
360,NM,WY,SHR,Sheridan,Sheridan County,P,N,"14,146","14,181",-0.25%
361,GL,MN,INL,International Falls,Falls International,P,N,"14,051","15,861",-11.41%
363,CE,IA,MCW,Mason City,Mason City Municipal,P,N,"13,852","11,076",25.06%
364,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,"13,766","12,972",6.12%
367,SW,NM,FMN,Farmington,Four Corners Regional,P,N,"13,389","10,854",23.36%
369,SW,TX,DRT,Del Rio,Del Rio International,P,N,"13,180","13,436",-1.91%
370,GL,MI,MKG,Muskegon,Muskegon County,P,N,"13,088","15,886",-17.61%
372,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,"12,749","13,319",-4.28%
374,AL,AK,UNK,Unalakleet,Unalakleet,P,N,"12,693","10,571",20.07%
375,AL,AK,GAL,Galena,Edward G. Pitka Sr,P,N,"12,421","7,447",66.79%
376,AL,AK,MBA,Manokotak,Manokotak,P,N,"12,409","13,570",-8.56%
377,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,"12,381","12,940",-4.32%
378,NE,MA,EWB,New Bedford,New Bedford Regional,P,N,"12,363","11,680",5.85%
379,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,"12,293","4,651",164.31%
381,NM,CO,PUB,Pueblo,Pueblo Memorial,P,N,"11,641","5,192",124.21%
382,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,"11,450","10,747",6.54%
383,NE,RI,WST,Westerly,Westerly State,P,N,"11,402","8,804",29.51%
385,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,"11,308",5,226060.00%
386,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L. Bill Hart Field,P,N,"11,249","11,727",-4.08%
387,GL,MN,HIB,Hibbing,Range Regional,P,N,"11,227","8,926",25.78%
388,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,P,N,"11,109","10,100",9.99%
389,WP,CA,IYK,Inyokern,Inyokern,P,N,"11,109","11,081",0.25%
391,AL,AK,WRG,Wrangell,Wrangell,P,N,"10,882","10,790",0.85%
392,AL,AK,HNH,Hoonah,Hoonah,P,N,"10,759","7,651",40.62%
393,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,"10,694","10,234",4.49%
394,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,"10,665","13,365",-20.20%
395,NM,WA,CLM,Port Angeles,William R Fairchild International,P,N,"10,616","13,340",-20.42%
396,AL,AK,ENM,Emmonak,Emmonak,P,N,"10,537","9,872",6.74%
397,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,P,N,"10,408","8,364",24.44%
398,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,"10,383","8,924",16.35%
400,CE,KS,GCK,Garden City,Garden City Regional,P,N,"10,155","10,014",1.41%
401,AL,AK,YAK,Yakutat,Yakutat,P,N,"10,035","12,158",-17.46%
,,,238,,,,N Count,,,
,,,377,,,,Total Count,,,
