Prefecture,Name,Location,Cs-134,Cs-134 MDA,Cs-137,Cs-137 MDA,Date,Time Measures (sec),Instrument,Lab,Cat 1,Cat 2,Cat 3
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県尾張旭市,ND,2.50,ND,2.30,2014-10-23,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県尾張旭市,ND,3.00,ND,2.70,2014-11-26,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県尾張旭市,ND,3.00,ND,2.70,2015-02-06,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県尾張旭市,ND,3.00,ND,2.70,2014-10-03,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県豊田市,ND,3.40,ND,3.10,2014-11-07,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県豊田市,ND,2.40,ND,3.20,2014-09-11,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県豊田市,ND,3.00,ND,2.70,2015-02-12,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県豊田市,ND,1.60,ND,1.50,2014-11-27,43200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県豊田市,ND,3.30,ND,3.00,2015-05-22,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県名古屋市昭和区,ND,3.10,ND,2.90,2014-12-19,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
